#,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_per_1M_pop,deaths_per_1M_pop,total_tests,tests_per_1M_pop,population
93,Mayotte,"2,282",+14,28,,"1,790",464,12,"8,377",103,"8,800","32,302","272,427"
94,Croatia,"2,251",+2,107,,"2,134",10,,548,26,"69,967","17,039","4,106,361"
95,Cuba,"2,238",+5,84,,"1,923",231,5,198,7,"131,628","11,621","11,326,934"
96,Kyrgyzstan,"2,207",+41,27,+1,"1,722",458,11,339,4,"147,454","22,622","6,518,289"
97,CAR,"2,057",+13,7,,363,"1,687",2,426,1,"18,921","3,921","4,825,119"
98,Maldives,"2,013",+10,8,,"1,217",788,9,"3,728",15,"28,940","53,591","540,016"
99,Estonia,"1,973",+3,69,,"1,705",199,,"1,487",52,"95,000","71,617","1,326,493"
100,Sri Lanka,"1,884",+4,11,,"1,252",621,1,88,0.5,"84,802","3,961","21,408,902"
101,Iceland,"1,808",+1,10,,"1,794",4,,"5,300",29,"63,124","185,042","341,133"
102,Mali,"1,776",+24,104,+3,"1,058",614,,88,5,"3,483",172,"20,214,891"
103,Lithuania,"1,763",+7,75,+1,"1,416",272,17,647,28,"360,670","132,415","2,723,786"
104,South Sudan,"1,693",+23,27,+3,49,"1,617",,151,2,"3,356",300,"11,186,857"
105,Mauritania,"1,682",+110,83,+2,311,"1,288",25,362,18,"7,654","1,649","4,642,299"
106,Costa Rica,"1,662",+50,12,,743,907,3,326,2,"31,763","6,238","5,091,747"
107,Slovakia,"1,545",+3,28,,"1,410",107,,283,5,"196,244","35,945","5,459,519"
108,New Zealand,"1,504",,22,,"1,482",0,,301,4,"307,810","61,536","5,002,100"
109,Slovenia,"1,492",+2,109,,"1,359",24,,718,52,"88,463","42,552","2,078,925"
110,Nicaragua,"1,464",,55,,953,456,,221,8,,,"6,620,422"
111,Albania,"1,464",+48,36,,"1,039",389,7,509,13,"17,888","6,216","2,877,941"
112,Guinea-Bissau,"1,460",,15,,153,"1,292",5,743,8,"1,500",763,"1,965,269"
113,Lebanon,"1,442",+20,32,+1,868,542,9,211,5,"105,264","15,419","6,826,791"
114,Zambia,"1,357",+36,10,,"1,104",243,1,74,0.5,"28,236","1,539","18,352,460"
115,Equatorial Guinea,"1,306",,12,,200,"1,094",,933,9,"8,268","5,906","1,400,039"
116,Paraguay,"1,261",+7,11,,647,603,2,177,2,"46,608","6,539","7,127,927"
117,Madagascar,"1,252",+22,10,,362,880,9,45,0.4,"15,495",560,"27,648,383"
118,French Guiana,"1,161",+118,2,,520,639,6,"3,893",7,277,929,"298,217"
119,Sierra Leone,"1,132",+29,51,,670,411,,142,6,,,"7,967,746"
120,Hong Kong,"1,110",+1,4,,"1,061",45,3,148,0.5,"241,992","32,292","7,493,913"
121,Latvia,"1,097",+1,28,+1,845,224,1,581,15,"126,054","66,800","1,887,049"
122,Tunisia,"1,094",+1,49,,995,50,,93,4,"57,273","4,849","11,812,229"
123,Cyprus,980,,18,,807,155,4,812,15,"134,706","111,611","1,206,919"
124,Niger,978,,65,,881,32,,40,3,"6,252",259,"24,148,953"
125,Jordan,953,+38,9,,678,266,5,93,0.9,"266,873","26,169","10,197,928"
126,Burkina Faso,892,,53,,799,40,,43,3,,,"20,868,398"
127,Andorra,853,,51,,781,21,8,"11,041",660,"3,750","48,538","77,259"
128,Georgia,851,+8,14,+1,702,135,6,213,4,"73,893","18,522","3,989,514"
129,Chad,848,,72,,718,58,,52,4,,,"16,396,849"
130,Uruguay,847,,23,,780,44,3,244,7,"52,078","14,994","3,473,152"
131,Congo,728,,24,,221,483,,132,4,,,"5,510,035"
132,Cabo Verde,726,+29,6,,294,426,,"1,307",11,"1,307","2,352","555,674"
,,721,,15,,651,55,4,,,,,
133,Diamond Princess,712,,13,,651,48,4,,,,,
134,Yemen,705,+73,160,+21,39,506,,24,5,120,4,"29,787,955"
135,San Marino,694,,42,,520,132,1,"20,455","1,238","5,238","154,386","33,928"
136,Uganda,694,+8,,,219,475,,15,,"142,819","3,129","45,649,727"
137,Sao Tome and Principe,650,+11,12,,168,470,,"2,969",55,"1,395","6,372","218,931"
138,Malta,646,+1,9,,601,36,1,"1,463",20,"80,953","183,364","441,487"
139,Jamaica,614,+3,10,,417,187,2,207,3,"15,850","5,354","2,960,540"
140,Channel Islands,565,,48,,512,5,,"3,251",276,"10,255","59,011","173,781"
141,Mozambique,553,+44,2,,151,400,,18,0.06,"18,061",579,"31,201,863"
142,Malawi,529,+48,5,+1,66,458,4,28,0.3,"6,690",350,"19,100,310"
143,Togo,525,,13,,279,233,1,64,2,"24,802","3,000","8,267,347"
144,Rwanda,510,,2,,321,187,,39,0.2,"85,613","6,620","12,933,152"
145,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,629,682"
146,Palestine,489,,3,,414,72,,96,0.6,"44,876","8,809","5,094,473"
147,Réunion,489,+1,1,,460,28,2,546,1,"17,200","19,218","894,993"
148,Eswatini,486,+14,3,,247,236,5,419,3,"6,551","5,650","1,159,544"
149,Liberia,446,+25,32,,214,200,,88,6,,,"5,050,706"
150,Taiwan,443,,7,,431,5,,19,0.3,"73,751","3,097","23,814,740"
151,Benin,412,+24,6,+1,222,184,2,34,0.5,"45,758","3,780","12,104,097"
152,Libya,409,,6,,59,344,,60,0.9,"11,765","1,713","6,866,309"
153,Zimbabwe,356,+13,4,,54,298,,24,0.3,"52,905","3,562","14,851,276"
154,Mauritius,337,,10,,325,2,,265,8,"137,789","108,353","1,271,669"
155,Isle of Man,336,,24,,312,0,,"3,952",282,"5,484","64,509","85,011"
156,Vietnam,334,+1,,,323,11,1,3,,"275,000","2,826","97,293,994"
157,Montenegro,324,,9,,315,0,,516,14,"13,186","20,995","628,062"
158,Myanmar,261,,6,,167,88,,5,0.1,"45,926",844,"54,391,666"
159,Martinique,202,,14,,98,90,,538,37,,,"375,278"
160,Mongolia,197,,,,95,102,11,60,,"17,605","5,375","3,275,404"
161,Suriname,187,,3,,9,175,2,319,5,"1,165","1,987","586,365"
162,Cayman Islands,187,,1,,115,71,,"2,847",15,"17,227","262,279","65,682"
163,Faeroe Islands,187,,,,187,0,,"3,828",,"10,863","222,356","48,854"
164,Comoros,176,+13,2,,114,60,,203,2,,,"868,536"
165,Gibraltar,176,,,,173,3,,"5,224",,"10,091","299,516","33,691"
166,Guadeloupe,171,,14,,157,0,,427,35,"5,691","14,223","400,121"
167,Syria,170,+6,6,,71,93,,10,0.3,,,"17,475,529"
168,Guyana,159,,12,,95,52,1,202,15,"1,927","2,451","786,367"
169,Bermuda,142,+1,9,,127,6,2,"2,280",144,"8,430","135,339","62,288"
170,Brunei,141,,2,,138,1,1,322,5,"24,131","55,186","437,264"
171,Angola,138,+8,6,+1,61,71,1,4,0.2,"10,000",305,"32,801,945"
172,Cambodia,126,,,,125,1,1,8,,"26,530","1,588","16,706,597"
173,Trinidad and Tobago,117,,8,,109,0,,84,6,"3,538","2,528","1,399,271"
174,Bahamas,103,,11,,68,24,1,262,28,"2,252","5,730","393,052"
175,Aruba,101,,3,,98,0,,946,28,"2,208","20,685","106,744"
176,Monaco,99,,4,,93,2,,"2,524",102,"16,200","412,970","39,228"
177,Barbados,96,,7,,83,6,1,334,24,"6,449","22,442","287,358"
178,Burundi,85,,1,,45,39,,7,0.08,382,32,"11,868,767"
179,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,608","38,123"
180,Sint Maarten,77,,15,,61,1,1,"1,797",350,471,"10,992","42,851"
